ID,Time,X,Y,
11, 5/19/2020 12:47:01 PM,-218,1770,Same
11, 5/19/2020 12:47:01 PM,-218,1770,Same
11, 5/19/2020 12:47:01 PM,-218,1770,Same
11, 5/19/2020 12:47:01 PM,-218,1770,Not same
11, 5/19/2020 12:47:11 PM,-240,1770,Not same
11, 5/19/2020 12:47:13 PM,-575,1770,Same
11, 5/19/2020 12:47:13 PM,-575,1770,Same
11, 5/19/2020 12:47:13 PM,-575,1770,Same
11, 5/19/2020 12:47:13 PM,-575,1770,Same
11, 5/19/2020 12:47:13 PM,-575,1770,Same
11, 5/19/2020 12:47:13 PM,-575,1770,Same
11, 5/19/2020 12:47:13 PM,-575,1770,Same
11, 5/19/2020 12:47:13 PM,-575,1770,Not same
11, 5/19/2020 12:47:24 PM,-567,1770,Not same
11, 5/19/2020 12:47:25 PM,-381,1712,Not same
11, 5/19/2020 12:47:27 PM,-304,1533,Not same
11, 5/19/2020 12:47:28 PM,-293,1522,Not same
11, 5/19/2020 12:47:29 PM,-267,1507,Not same
11, 5/19/2020 12:47:31 PM,-268,1524,Not same
11, 5/19/2020 12:47:32 PM,-262,1525,Not same
11, 5/19/2020 12:47:34 PM,-218,1519,Not same
11, 5/19/2020 12:47:35 PM,-250,1525,Not same
11, 5/19/2020 12:47:37 PM,-495,1670,Not same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Same
11, 5/19/2020 12:47:38 PM,-585,1751,Not same
11, 5/19/2020 12:48:13 PM,-494,1770,Same
11, 5/19/2020 12:48:13 PM,-494,1770,Same
11, 5/19/2020 12:48:13 PM,-494,1770,Not same
11, 5/19/2020 12:48:17 PM,-141,1770,Same
11, 5/19/2020 12:48:17 PM,-141,1770,Same
11, 5/19/2020 12:48:17 PM,-141,1770,Same
11, 5/19/2020 12:48:17 PM,-141,1770,Same
11, 5/19/2020 12:48:17 PM,-141,1770,Not same
11, 5/19/2020 12:48:25 PM,-55,1747,Not same
11, 5/19/2020 12:48:26 PM,-108,1685,Not same
