00000013, 5/19/2020 12:13:57 PM, -80, 1725
00000014, , NaN, NaN
00000011, 5/19/2020 12:14:10 PM, -66, 1388
00000012, 5/19/2020 12:14:10 PM, -276, 1506
00000013, 5/19/2020 12:13:57 PM, -80, 1725
00000014, , NaN, NaN
00000011, 5/19/2020 12:14:11 PM, -42, 1287
00000012, 5/19/2020 12:14:12 PM, -284, 1504
00000013, 5/19/2020 12:13:57 PM, -80, 1725
00000014, , NaN, NaN
00000011, 5/19/2020 12:14:14 PM, -56, 1126
00000012, 5/19/2020 12:14:14 PM, -279, 1504
00000013, 5/19/2020 12:14:14 PM, -33, 1224
00000014, , NaN, NaN
00000011, 5/19/2020 12:14:15 PM, -11, 1117
00000012, 5/19/2020 12:14:15 PM, -327, 1490
00000013, 5/19/2020 12:14:16 PM, -14, 1116
00000014, , NaN, NaN
00000011, 5/19/2020 12:14:16 PM, 6, 1106
00000012, 5/19/2020 12:14:16 PM, -327, 1500
00000013, 5/19/2020 12:14:16 PM, -9, 1099
00000014, , NaN, NaN
00000011, 5/19/2020 12:14:16 PM, 6, 1106
00000012, 5/19/2020 12:14:18 PM, -384, 1159
00000013, 5/19/2020 12:14:16 PM, -9, 1099
00000014, , NaN, NaN
00000011, 5/19/2020 12:14:16 PM, 6, 1106
00000012, 5/19/2020 12:14:18 PM, -384, 1159
00000013, 5/19/2020 12:14:16 PM, -9, 1099
00000014, , NaN, NaN
00000011, 5/19/2020 12:14:16 PM, 6, 1106
00000012, 5/19/2020 12:14:18 PM, -384, 1159
00000013, 5/19/2020 12:14:16 PM, -9, 1099
00000014, , NaN, NaN
00000011, 5/19/2020 12:14:16 PM, 6, 1106
00000012, 5/19/2020 12:14:18 PM, -384, 1159
00000013, 5/19/2020 12:14:16 PM, -9, 1099
00000014, , NaN, NaN
00000011, 5/19/2020 12:14:23 PM, -10, 1111
00000012, 5/19/2020 12:14:23 PM, -397, 1166
00000013, 5/19/2020 12:14:23 PM, -24, 1078
00000014, , NaN, NaN
00000011, 5/19/2020 12:14:25 PM, -529, 1266
00000012, 5/19/2020 12:14:25 PM, -396, 1149
00000013, 5/19/2020 12:14:25 PM, -76, 1090
00000014, , NaN, NaN
00000011, 5/19/2020 12:14:26 PM, -579, 1170
00000012, 5/19/2020 12:14:26 PM, -400, 1156
00000013, 5/19/2020 12:14:26 PM, -258, 1099
00000014, , NaN, NaN
00000011, 5/19/2020 12:14:27 PM, -682, 1146
00000012, 5/19/2020 12:14:27 PM, -397, 1154
00000013, 5/19/2020 12:14:28 PM, -375, 1109
00000014, , NaN, NaN
00000011, 5/19/2020 12:14:29 PM, -886, 1145
00000012, 5/19/2020 12:14:29 PM, -407, 1155
00000013, 5/19/2020 12:14:29 PM, -402, 1135
00000014, , NaN, NaN
00000011, 5/19/2020 12:14:30 PM, -883, 1145
00000012, 5/19/2020 12:14:31 PM, -344, 1554
00000013, 5/19/2020 12:14:30 PM, -448, 1148
00000014, , NaN, NaN
00000011, 5/19/2020 12:14:32 PM, -817, 1131
00000012, 5/19/2020 12:14:32 PM, -377, 1668
00000013, 5/19/2020 12:14:32 PM, -446, 1161
00000014, , NaN, NaN
00000011, 5/19/2020 12:14:33 PM, -761, 1075
00000012, 5/19/2020 12:14:33 PM, -486, 1770
00000013, 5/19/2020 12:14:33 PM, -441, 1153
00000014, , NaN, NaN
00000011, 5/19/2020 12:14:34 PM, -760, 1076
00000012, 5/19/2020 12:14:35 PM, -566, 1770
00000013, 5/19/2020 12:14:35 PM, -407, 1090
00000014, , NaN, NaN
00000011, 5/19/2020 12:14:34 PM, -760, 1076
00000012, 5/19/2020 12:14:35 PM, -566, 1770
00000013, 5/19/2020 12:14:36 PM, -387, 1060
00000014, , NaN, NaN
00000011, 5/19/2020 12:14:37 PM, -765, 1084
00000012, 5/19/2020 12:14:35 PM, -566, 1770
00000013, 5/19/2020 12:14:37 PM, -387, 1061
00000014, , NaN, NaN
00000011, 5/19/2020 12:14:39 PM, -717, 1293
00000012, 5/19/2020 12:14:35 PM, -566, 1770
00000013, 5/19/2020 12:14:39 PM, -269, 1339
00000014, , NaN, NaN
00000011, 5/19/2020 12:14:40 PM, -556, 1328
