ID,TimeStamp,X,Y
11, 5/19/2020 12:03:27 PM,-15,1086
12, 5/19/2020 12:03:30 PM,-386,1139
13, 5/19/2020 12:03:30 PM,45,1062
,,,
11, 5/19/2020 12:03:27 PM,-15,1086
12, 5/19/2020 12:03:31 PM,-384,1152
13, 5/19/2020 12:03:31 PM,25,1070
,,,
11, 5/19/2020 12:03:32 PM,-81,1101
12, 5/19/2020 12:03:33 PM,-403,1112
13, 5/19/2020 12:03:31 PM,25,1070
,,,
11, 5/19/2020 12:03:34 PM,-488,1200
12, 5/19/2020 12:03:34 PM,-404,1118
13, 5/19/2020 12:03:31 PM,25,1070
,,,
11, 5/19/2020 12:03:35 PM,-581,1188
12, 5/19/2020 12:03:35 PM,-429,1230
13, 5/19/2020 12:03:36 PM,-15,1067
,,,
11, 5/19/2020 12:03:37 PM,-865,1148
12, 5/19/2020 12:03:37 PM,-514,1032
13, 5/19/2020 12:03:37 PM,-16,1068
,,,
11, 5/19/2020 12:03:38 PM,-864,1148
12, 5/19/2020 12:03:38 PM,-513,1035
13, 5/19/2020 12:03:37 PM,-16,1068
,,,
11, 5/19/2020 12:03:39 PM,-869,1136
12, 5/19/2020 12:03:40 PM,-457,1246
13, 5/19/2020 12:03:40 PM,-210,1014
,,,
11, 5/19/2020 12:03:41 PM,-842,1133
12, 5/19/2020 12:03:41 PM,-503,1464
13, 5/19/2020 12:03:41 PM,-371,1056
,,,
11, 5/19/2020 12:03:41 PM,-842,1133
12, 5/19/2020 12:03:41 PM,-503,1464
13, 5/19/2020 12:03:42 PM,-404,1126
,,,
11, 5/19/2020 12:03:44 PM,-835,1106
12, 5/19/2020 12:03:43 PM,-588,1693
13, 5/19/2020 12:03:44 PM,-411,1166
,,,
11, 5/19/2020 12:03:45 PM,-834,1108
12, 5/19/2020 12:03:43 PM,-588,1693
13, 5/19/2020 12:03:45 PM,-411,1163
,,,
11, 5/19/2020 12:03:46 PM,-822,1110
12, 5/19/2020 12:03:43 PM,-588,1693
13, 5/19/2020 12:03:48 PM,-407,1140
,,,
11, 5/19/2020 12:03:48 PM,-784,1102
12, 5/19/2020 12:03:43 PM,-588,1693
13, 5/19/2020 12:03:48 PM,-407,1140
,,,
11, 5/19/2020 12:03:49 PM,-767,1142
12, 5/19/2020 12:03:43 PM,-588,1693
13, 5/19/2020 12:03:48 PM,-407,1140
,,,
11, 5/19/2020 12:03:51 PM,-593,1321
12, 5/19/2020 12:03:43 PM,-588,1693
13, 5/19/2020 12:03:50 PM,-418,1115
,,,
11, 5/19/2020 12:03:52 PM,-517,1420
12, 5/19/2020 12:03:43 PM,-588,1693
13, 5/19/2020 12:03:52 PM,-416,1131
,,,
11, 5/19/2020 12:03:54 PM,-359,1550
12, 5/19/2020 12:03:54 PM,-630,1740
13, 5/19/2020 12:03:54 PM,-450,1556
,,,
11, 5/19/2020 12:03:55 PM,-281,1506
12, 5/19/2020 12:03:55 PM,-710,1725
13, 5/19/2020 12:03:55 PM,-372,1745
,,,
11, 5/19/2020 12:03:56 PM,-254,1506
12, 5/19/2020 12:03:56 PM,-718,1606
13, 5/19/2020 12:03:56 PM,-286,1718
,,,
11, 5/19/2020 12:03:58 PM,-253,1504
12, 5/19/2020 12:03:58 PM,-712,1222
13, 5/19/2020 12:03:57 PM,-174,1770
,,,
11, 5/19/2020 12:03:59 PM,-266,1583
12, 5/19/2020 12:03:59 PM,-749,1070
13, 5/19/2020 12:03:57 PM,-174,1770
,,,
11, 5/19/2020 12:04:01 PM,-206,1450
12, 5/19/2020 12:03:59 PM,-749,1070
13, 5/19/2020 12:03:57 PM,-174,1770
,,,
11, 5/19/2020 12:04:02 PM,-214,1458
12, 5/19/2020 12:03:59 PM,-749,1070
13, 5/19/2020 12:03:57 PM,-174,1770
,,,
11, 5/19/2020 12:04:03 PM,-271,1538
12, 5/19/2020 12:03:59 PM,-749,1070
13, 5/19/2020 12:03:57 PM,-174,1770
,,,
11, 5/19/2020 12:04:05 PM,-274,1533
12, 5/19/2020 12:04:04 PM,-778,1084
13, 5/19/2020 12:03:57 PM,-174,1770
,,,
11, 5/19/2020 12:04:06 PM,-342,1510
12, 5/19/2020 12:04:04 PM,-778,1084
13, 5/19/2020 12:03:57 PM,-174,1770
,,,
11, 5/19/2020 12:04:08 PM,-296,1493
12, 5/19/2020 12:04:08 PM,-720,1131
13, 5/19/2020 12:03:57 PM,-174,1770
,,,
11, 5/19/2020 12:04:09 PM,-287,1515
12, 5/19/2020 12:04:09 PM,-565,1095
13, 5/19/2020 12:04:08 PM,285,1770
,,,
11, 5/19/2020 12:04:10 PM,-261,1486
12, 5/19/2020 12:04:10 PM,-421,1053
13, 5/19/2020 12:04:08 PM,285,1770
,,,
11, 5/19/2020 12:04:12 PM,-205,1411
12, 5/19/2020 12:04:12 PM,-373,1116
13, 5/19/2020 12:04:08 PM,285,1770
,,,
11, 5/19/2020 12:04:13 PM,-202,1413
12, 5/19/2020 12:04:13 PM,-373,1114
13, 5/19/2020 12:04:08 PM,285,1770
,,,
11, 5/19/2020 12:04:14 PM,-212,1418
12, 5/19/2020 12:04:14 PM,-381,1116
13, 5/19/2020 12:04:08 PM,285,1770
,,,
11, 5/19/2020 12:04:16 PM,-276,1498
12, 5/19/2020 12:04:16 PM,-409,1122
13, 5/19/2020 12:04:16 PM,375,1770
,,,
11, 5/19/2020 12:04:17 PM,-106,1498
12, 5/19/2020 12:04:18 PM,-370,1135
13, 5/19/2020 12:04:16 PM,375,1770
,,,
11, 5/19/2020 12:04:19 PM,152,1585
12, 5/19/2020 12:04:19 PM,-350,1085
13, 5/19/2020 12:04:16 PM,375,1770
,,,
11, 5/19/2020 12:04:19 PM,152,1585
12, 5/19/2020 12:04:20 PM,-351,1088
13, 5/19/2020 12:04:16 PM,375,1770
,,,
11, 5/19/2020 12:04:21 PM,462,1770
12, 5/19/2020 12:04:22 PM,-471,1520
13, 5/19/2020 12:04:16 PM,375,1770
,,,
11, 5/19/2020 12:04:23 PM,458,1770
12, 5/19/2020 12:04:23 PM,-531,1601
13, 5/19/2020 12:04:16 PM,375,1770
,,,
11, 5/19/2020 12:04:24 PM,478,1764
12, 5/19/2020 12:04:24 PM,-617,1706
13, 5/19/2020 12:04:16 PM,375,1770
,,,
11, 5/19/2020 12:04:24 PM,478,1764
12, 5/19/2020 12:04:24 PM,-617,1706
13, 5/19/2020 12:04:16 PM,375,1770
,,,
11, 5/19/2020 12:04:24 PM,478,1764
