105,	13,5/19/2020 12:49:54 PM,-929,1310
106,	13,5/19/2020 12:49:55 PM,-924,1323
107,	13,5/19/2020 12:49:57 PM,-875,1311
108,	13,5/19/2020 12:49:58 PM,-878,1310
109,	13,5/19/2020 12:50:00 PM,-915,1313
110,	13,5/19/2020 12:50:02 PM,-915,1313
111,	13,5/19/2020 12:50:03 PM,-896,1305
112,	13,5/19/2020 12:50:05 PM,-898,1314
113,	13,5/19/2020 12:50:08 PM,-946,1356
114,	13,5/19/2020 12:50:09 PM,-980,1395
115,	13,5/19/2020 12:50:11 PM,-971,1387
116,	13,5/19/2020 12:50:12 PM,-977,1391
117,	13,5/19/2020 12:50:13 PM,-969,1386
118,	13,5/19/2020 12:50:15 PM,-962,1379
119,	13,5/19/2020 12:50:16 PM,-956,1380
120,	13,5/19/2020 12:50:18 PM,-946,1373
121,	13,5/19/2020 12:50:19 PM,-944,1369
122,	13,5/19/2020 12:50:21 PM,-943,1367
